ranking, punk_image, id, minscore, 2nd, category
45,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk5622.png" width="72" height="72">","5622",0.014700000000,1.6900000000,28.2400000000,0.1100000000,"Blonde Bob 1.4700,Gold Chain 1.6900,Pipe 3.1700,Clown Eyes Green 3.8200,Hot Lipstick 6.9600,Earring 24.5900",Dark,Female,0.0032214518518518518520459344
46,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk3011.png" width="72" height="72">","3011",0.014700000000,2.6100000000,28.2400000000,0.1100000000,"Vampire Hair 1.4700,Frown 2.6100,Normal Beard 2.9200,Pipe 3.1700,Small Shades 3.7800,Earring 24.5900",Dark,Male,0.0032214518518518518520459344
47,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk7191.png" width="72" height="72">","7191",0.041900000000,5.7200000000,0.2400000000,35.6000000000,"Knitted Cap 4.1900,Nerd Glasses 5.7200",Ape,Ape,0.0033999234094795828329827670
48,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk8152.png" width="72" height="72">","8152",0.016900000000,2.3800000000,30.0600000000,0.1100000000,"Gold Chain 1.6900,Smile 2.3800,Luxurious Beard 2.8600,Knitted Cap 4.1900,Eye Patch 4.6100,Earring 24.5900",Light,Male,0.0037044441498176997017797353
49,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk9265.png" width="72" height="72">","9265",0.048100000000,5.3500000000,0.2400000000,35.6000000000,"Bandana 4.8100,Big Shades 5.3500",Ape,Ape,0.0038138078004731866218265207
50,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk2243.png" width="72" height="72">","2243",0.048100000000,5.7200000000,0.2400000000,35.6000000000,"Bandana 4.8100,Nerd Glasses 5.7200",Ape,Ape,0.0038156405661384645232158100
51,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk5949.png" width="72" height="72">","5949",0.017500000000,1.7800000000,28.2400000000,0.1100000000,"Medical Mask 1.7500,Tassle Hat 1.7800,Big Shades 5.3500,Mole 6.4400,Purple Lipstick 6.5500,Earring 24.5900",Dark,Female,0.0038350617283950617286261124
52,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk6153.png" width="72" height="72">","6153",0.017500000000,2.1200000000,30.3100000000,0.1100000000,"Medical Mask 1.7500,Clown Nose 2.1200,Goat 2.9500,Messy Hair 4.6000,Horned Rim Glasses 5.3500,Earring 24.5900",Mid,Male,0.0038360782380013149245672579
53,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk3636.png" width="72" height="72">","3636",0.011500000000,2.6000000000,0.8800000000,45.0100000000,"Top Hat 1.1500,Front Beard Dark 2.6000,Earring 24.5900",Zombie,Zombie,0.0039774138017071538951488020
54,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk6297.png" width="72" height="72">","6297",0.011500000000,5.7200000000,0.8800000000,45.0100000000,"Top Hat 1.1500,Nerd Glasses 5.7200,Cigarette 9.6100",Zombie,Zombie,0.0039868647379163051309982643
55,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk4850.png" width="72" height="72">","4850",0.016500000000,1.6500000000,0.8800000000,3.3300000000,Purple Hair 1.6500,Zombie,Zombie,0.0042551322809526428690349079
56,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk6704.png" width="72" height="72">","6704",0.012800000000,9.6100000000,0.8800000000,45.0100000000,"Rosy Cheeks 1.2800,Cigarette 9.6100,Earring 24.5900",Zombie,Zombie,0.0044339396356102777195526491
57,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk5489.png" width="72" height="72">","5489",0.018600000000,1.8600000000,0.8800000000,3.3300000000,Fedora 1.8600,Zombie,Zombie,0.0047825996159146157851113036
58,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk3831.png" width="72" height="72">","3831",0.014700000000,1.7500000000,0.8800000000,45.0100000000,"Vampire Hair 1.4700,Medical Mask 1.7500,Big Shades 5.3500",Zombie,Zombie,0.0050460726229722617081004523
59,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk5336.png" width="72" height="72">","5336",0.020300000000,2.0300000000,0.8800000000,3.3300000000,Police Cap 2.0300,Zombie,Zombie,0.0052073319245602336711900552
60,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk1839.png" width="72" height="72">","1839",0.023800000000,2.8800000000,28.2400000000,0.1100000000,"Smile 2.3800,Mustache 2.8800,Knitted Cap 4.1900,Nerd Glasses 5.7200,Cigarette 9.6100,Earring 24.5900",Dark,Male,0.0052156839506172839509315128
61,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk4472.png" width="72" height="72">","4472",0.016500000000,9.6100000000,0.8800000000,35.6000000000,"Purple Hair 1.6500,Cigarette 9.6100",Zombie,Zombie,0.0056889282031572452141828765
62,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk1526.png" width="72" height="72">","1526",0.016900000000,3.5100000000,0.8800000000,45.0100000000,"Gold Chain 1.6900,Cap 3.5100,Eye Patch 4.6100",Zombie,Zombie,0.0058071358932378615147017712
63,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk4830.png" width="72" height="72">","4830",0.017500000000,4.4700000000,0.8800000000,45.0100000000,"Medical Mask 1.7500,Wild Hair 4.4700,Classic Shades 5.0100",Zombie,Zombie,0.0060145081167732776485974442
64,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk8553.png" width="72" height="72">","8553",0.026000000000,2.6000000000,0.8800000000,3.3300000000,Front Beard Dark 2.6000,Zombie,Zombie,0.0066168394597119604194617151
65,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk8909.png" width="72" height="72">","8909",0.020300000000,2.8600000000,0.8800000000,45.0100000000,"Police Cap 2.0300,Luxurious Beard 2.8600,Regular Shades 5.2700",Zombie,Zombie,0.0069333218282867309785586455
66,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk4874.png" width="72" height="72">","4874",0.021200000000,2.8800000000,0.8800000000,1.6600000000,"Clown Nose 2.1200,Mustache 2.8800,Messy Hair 4.6000,Cigarette 9.6100,Earring 24.5900",Zombie,Zombie,0.0071463655300864399238458346
67,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk9203.png" width="72" height="72">","9203",0.021200000000,2.5400000000,0.8800000000,14.2000000000,"Clown Nose 2.1200,Cap Forward 2.5400,Goat 2.9500,Mole 6.4400",Zombie,Zombie,0.0072175076309978249473028368
